subj,session,trial,rt,object_response,category,condition,imagename,entropy_1000,prob_correct_16,rank_correct_16,entropy_16,highest_prob_16,object_response_sums,prob_correct_16_sums,rank_correct_16_sums,entropy_16_sums,highest_prob_16_sums
googlenet,6,1,NaN,knife,knife,0,6401_rot_dnn_0_knife_20_n03041632_33326.png,5.22762123611,0.957532894463,1,0.354907551127,0.957532894463,knife,0.902710789805,1,0.704392409902,0.902710789805
googlenet,6,2,NaN,knife,knife,0,6402_rot_dnn_0_knife_20_n03041632_13612.png,7.54384209424,0.380179100763,1,3.00309024773,0.380179100763,dog,0.150110608969,2,3.06199809405,0.353029753694
googlenet,6,3,NaN,knife,knife,0,6403_rot_dnn_0_knife_20_n03041632_21859.png,5.9329286698,0.975304932153,1,0.239857106256,0.975304932153,knife,0.904703543062,1,0.70224389554,0.904703543062
googlenet,6,4,NaN,chair,knife,0,6404_rot_dnn_0_knife_20_n03041632_22734.png,6.7391433664,0.152598555671,3,3.02000057415,0.230709353328,dog,0.0454701363924,7,2.78334204452,0.391232666535
googlenet,6,5,NaN,knife,knife,0,6405_rot_dnn_0_knife_20_n03041632_93026.png,5.07932185691,0.27984189565,1,2.86336928976,0.27984189565,dog,0.127876366847,2,3.03973156832,0.306040567326
googlenet,6,6,NaN,knife,knife,0,6406_rot_dnn_0_knife_20_n03041632_19620.png,5.67497466248,0.734839183694,1,1.254062334,0.734839183694,knife,0.626138565123,1,1.82503347994,0.626138565123
googlenet,6,7,NaN,knife,knife,0,6407_rot_dnn_0_knife_20_n03041632_10109.png,0.735943747503,0.999528206482,1,0.00724183448976,0.999528206482,knife,0.998565008467,1,0.0190825222793,0.998565008467
googlenet,6,8,NaN,bicycle,knife,0,6408_rot_dnn_0_knife_20_n03041632_27929.png,7.78277678293,0.0186307719602,7,2.15990708271,0.55448554725,dog,0.00713662684237,12,2.62399830293,0.317157229532
googlenet,6,9,NaN,knife,knife,0,6409_rot_dnn_0_knife_20_n03041632_42162.png,0.0718635165118,0.99999676628,1,7.38747686678e-05,0.99999676628,knife,0.999985459465,1,0.000290254275918,0.999985459465
googlenet,6,10,NaN,knife,knife,0,6410_rot_dnn_0_knife_20_n03041632_25512.png,3.30819713419,0.994543146639,1,0.0616198963999,0.994543146639,knife,0.984332962091,1,0.156684564278,0.984332962091
googlenet,6,11,NaN,knife,knife,0,6411_rot_dnn_0_knife_20_n03041632_5801.png,4.16458082713,0.294830270464,1,2.45968616746,0.294830270464,dog,0.171982420697,4,2.89751743232,0.227158136938
googlenet,6,12,NaN,knife,knife,0,6412_rot_dnn_0_knife_20_n03041632_39883.png,4.13898919885,0.985809440636,1,0.145512678125,0.985809440636,knife,0.9591802584,1,0.350029457475,0.9591802584
googlenet,6,13,NaN,knife,knife,0,6413_rot_dnn_0_knife_20_n03041632_47743.png,4.31405059884,0.98835499981,1,0.11015076299,0.98835499981,knife,0.964844647686,1,0.288054760368,0.964844647686
googlenet,6,14,NaN,chair,knife,0,6414_rot_dnn_0_knife_20_n03041632_84012.png,5.5480776919,0.112794645121,2,2.87439118596,0.439793069942,dog,0.0301182203749,7,2.47030418025,0.507030396561
googlenet,6,15,NaN,knife,knife,0,6415_rot_dnn_0_knife_20_n03041632_12707.png,3.08168985215,0.993342081514,1,0.0726946843604,0.993342081514,knife,0.981959567475,1,0.176150915949,0.981959567475
googlenet,6,16,NaN,knife,knife,0,6416_rot_dnn_0_knife_20_n03041632_3005.png,1.18058147752,0.999505698603,1,0.00774566982807,0.999505698603,knife,0.99816877071,1,0.024279398727,0.99816877071
googlenet,6,17,NaN,knife,knife,0,6417_rot_dnn_0_knife_20_n03041632_19571.png,5.76857985707,0.942145151792,1,0.511329436291,0.942145151792,knife,0.799323447347,1,1.24695015053,0.799323447347
googlenet,6,18,NaN,knife,knife,0,6418_rot_dnn_0_knife_20_n03041632_11816.png,6.93019780484,0.75504460218,1,1.14628884237,0.75504460218,knife,0.626106839848,1,1.79447033141,0.626106839848
googlenet,6,19,NaN,knife,knife,0,6419_rot_dnn_0_knife_20_n03041632_6446.png,5.24129732822,0.976024072287,1,0.22195432012,0.976024072287,knife,0.938682987603,1,0.488559568553,0.938682987603
googlenet,6,20,NaN,knife,knife,0,6420_rot_dnn_0_knife_20_n03041632_26405.png,0.0424375519809,0.999988485058,1,0.000229691968621,0.999988485058,knife,0.999975599278,1,0.000469310800251,0.999975599278
googlenet,6,21,NaN,keyboard,keyboard,0,6421_rot_dnn_0_keyboard_20_n03085013_14764.png,0.838809674763,0.999959468562,1,0.000779897166933,0.999959468562,keyboard,0.999622544914,1,0.00551942452281,0.999622544914
googlenet,6,22,NaN,keyboard,keyboard,0,6422_rot_dnn_0_keyboard_20_n03085013_15785.png,2.51792739087,0.997928635348,1,0.0280980642253,0.997928635348,keyboard,0.991865332283,1,0.0895787117107,0.991865332283
googlenet,6,23,NaN,keyboard,keyboard,0,6423_rot_dnn_0_keyboard_20_n03085013_24653.png,3.2283422176,0.948830205191,1,0.338346675156,0.948830205191,keyboard,0.930891836456,1,0.483555146045,0.930891836456
googlenet,6,24,NaN,keyboard,keyboard,0,6424_rot_dnn_0_keyboard_20_n03085013_1824.png,1.82331350926,0.997477584849,1,0.0318179313984,0.997477584849,keyboard,0.994172763184,1,0.0676050921013,0.994172763184
googlenet,6,25,NaN,keyboard,keyboard,0,6425_rot_dnn_0_keyboard_20_n03085013_22260.png,0.774042109193,0.999776118308,1,0.003719922676,0.999776118308,keyboard,0.998569357668,1,0.0184923742337,0.998569357668
googlenet,6,26,NaN,keyboard,keyboard,0,6426_rot_dnn_0_keyboard_20_n04505470_3675.png,3.04569731255,0.987776126392,1,0.124244980712,0.987776126392,keyboard,0.963569236165,1,0.324468519971,0.963569236165
googlenet,6,27,NaN,keyboard,keyboard,0,6427_rot_dnn_0_keyboard_20_n03085013_4156.png,0.524566239074,0.999986842751,1,0.000271583703271,0.999986842751,keyboard,0.999937046334,1,0.0011040705587,0.999937046334
googlenet,6,28,NaN,keyboard,keyboard,0,6428_rot_dnn_0_keyboard_20_n03085013_24284.png,4.09739135718,0.988901342977,1,0.124973827441,0.988901342977,keyboard,0.961425411263,1,0.336058154056,0.961425411263
googlenet,6,29,NaN,keyboard,keyboard,0,6429_rot_dnn_0_keyboard_20_n03085013_24462.png,4.44023282663,0.987994903472,1,0.13181874056,0.987994903472,keyboard,0.935701161437,1,0.494321696971,0.935701161437
googlenet,6,30,NaN,keyboard,keyboard,0,6430_rot_dnn_0_keyboard_20_n04505470_1649.png,2.18951324033,0.996705343237,1,0.043894912548,0.996705343237,keyboard,0.9717784098,1,0.246473879984,0.9717784098
googlenet,6,31,NaN,keyboard,keyboard,0,6431_rot_dnn_0_keyboard_20_n04505470_4764.png,1.72151420046,0.999133654796,1,0.0130838588529,0.999133654796,keyboard,0.993655687803,1,0.0686825082223,0.993655687803
googlenet,6,32,NaN,keyboard,keyboard,0,6432_rot_dnn_0_keyboard_20_n04505470_550.png,2.42334574577,0.997113776946,1,0.037417822017,0.997113776946,keyboard,0.992213645294,1,0.0852527561965,0.992213645294
googlenet,6,33,NaN,keyboard,keyboard,0,6433_rot_dnn_0_keyboard_20_n03085013_11399.png,0.425218096327,0.999972241957,1,0.000547574722085,0.999972241957,keyboard,0.999852077514,1,0.00244491175262,0.999852077514
googlenet,6,34,NaN,keyboard,keyboard,0,6434_rot_dnn_0_keyboard_20_n03085013_24295.png,2.26250427958,0.998810374701,1,0.0173535216784,0.998810374701,keyboard,0.994083621188,1,0.0669697797782,0.994083621188
googlenet,6,35,NaN,keyboard,keyboard,0,6435_rot_dnn_0_keyboard_20_n04505470_4454.png,0.875069190599,0.999931822072,1,0.00127229290429,0.999931822072,keyboard,0.999584576853,1,0.00621200700894,0.999584576853
googlenet,6,36,NaN,keyboard,keyboard,0,6436_rot_dnn_0_keyboard_20_n03085013_21507.png,1.44375017671,0.999264585341,1,0.0109535128748,0.999264585341,keyboard,0.996657097997,1,0.0398494759007,0.996657097997
googlenet,6,37,NaN,keyboard,keyboard,0,6437_rot_dnn_0_keyboard_20_n03085013_20462.png,0.619223124445,0.999999777607,1,5.73706768616e-06,0.999999777607,keyboard,0.999999201911,1,1.89514953975e-05,0.999999201911
googlenet,6,38,NaN,keyboard,keyboard,0,6438_rot_dnn_0_keyboard_20_n03085013_11854.png,4.78257504105,0.678015861224,1,1.531703553,0.678015861224,keyboard,0.543362355948,1,2.17635824549,0.543362355948
googlenet,6,39,NaN,keyboard,keyboard,0,6439_rot_dnn_0_keyboard_20_n03085013_23187.png,2.31263060287,0.991770080663,1,0.0856360900666,0.991770080663,keyboard,0.983373396196,1,0.161110071142,0.983373396196
googlenet,6,40,NaN,keyboard,keyboard,0,6440_rot_dnn_0_keyboard_20_n03085013_19096.png,4.8701745609,0.981336660312,1,0.1824123461,0.981336660312,keyboard,0.914426950857,1,0.616691093889,0.914426950857
googlenet,6,41,NaN,elephant,elephant,0,6441_rot_dnn_0_elephant_20_n02504458_6348.png,1.56223136805,0.999824532652,1,0.00305143820673,0.999824532652,elephant,0.999314866717,1,0.0098741272199,0.999314866717
googlenet,6,42,NaN,elephant,elephant,0,6442_rot_dnn_0_elephant_20_n02504013_1382.png,2.07013982119,0.997967737193,1,0.0281031357321,0.997967737193,elephant,0.993595675998,1,0.0713172578786,0.993595675998
googlenet,6,43,NaN,elephant,elephant,0,6443_rot_dnn_0_elephant_20_n02504013_1921.png,2.64042874898,0.992547580136,1,0.0846280857134,0.992547580136,elephant,0.967748011969,1,0.258938195093,0.967748011969
googlenet,6,44,NaN,elephant,elephant,0,6444_rot_dnn_0_elephant_20_n02504458_1304.png,2.23187749484,0.988362968234,1,0.110238263761,0.988362968234,elephant,0.958407555697,1,0.289764552488,0.958407555697
googlenet,6,45,NaN,elephant,elephant,0,6445_rot_dnn_0_elephant_20_n02504013_3511.png,6.5846018716,0.812522975176,1,1.19599071964,0.812522975176,elephant,0.583975794356,1,1.71715032047,0.583975794356
googlenet,6,46,NaN,elephant,elephant,0,6446_rot_dnn_0_elephant_20_n02504013_24217.png,0.902533649612,0.999284230207,1,0.00988032200917,0.999284230207,elephant,0.998146912094,1,0.0226635539851,0.998146912094
googlenet,6,47,NaN,elephant,elephant,0,6447_rot_dnn_0_elephant_20_n02504458_5875.png,1.35453199835,0.999945925269,1,0.000959144173537,0.999945925269,elephant,0.999887077536,1,0.00181771312585,0.999887077536
googlenet,6,48,NaN,elephant,elephant,0,6448_rot_dnn_0_elephant_20_n02504013_8162.png,1.52489840205,0.99942596188,1,0.00761480338386,0.99942596188,elephant,0.998441430276,1,0.0176525478071,0.998441430276
googlenet,6,49,NaN,elephant,elephant,0,6449_rot_dnn_0_elephant_20_n02504013_2856.png,2.27135047537,0.98936508909,1,0.111508933101,0.98936508909,elephant,0.966826525298,1,0.265013903949,0.966826525298
googlenet,6,50,NaN,elephant,elephant,0,6450_rot_dnn_0_elephant_20_n02504458_1705.png,0.978262339318,0.999776793686,1,0.00371300172499,0.999776793686,elephant,0.998545947018,1,0.0182634313578,0.998545947018
googlenet,6,51,NaN,elephant,elephant,0,6451_rot_dnn_0_elephant_20_n02504013_23660.png,1.10455298848,0.999727352554,1,0.00440814567793,0.999727352554,elephant,0.998793920333,1,0.0156159841609,0.998793920333
googlenet,6,52,NaN,elephant,elephant,0,6452_rot_dnn_0_elephant_20_n02504013_2095.png,7.35695046827,0.804617528725,1,1.2830800503,0.804617528725,elephant,0.598448327793,1,1.84458445559,0.598448327793
googlenet,6,53,NaN,bicycle,elephant,0,6453_rot_dnn_0_elephant_20_n02504458_5882.png,5.71878710698,0.133954967621,2,3.32743037032,0.279121951093,dog,0.0619211473098,4,2.61881597388,0.510787686434
googlenet,6,54,NaN,elephant,elephant,0,6454_rot_dnn_0_elephant_20_n02504458_13352.png,3.15155740235,0.991254546577,1,0.0984158774472,0.991254546577,elephant,0.964840991541,1,0.285880012544,0.964840991541
googlenet,6,55,NaN,elephant,elephant,0,6455_rot_dnn_0_elephant_20_n02504458_1190.png,2.11049287399,0.991712921486,1,0.092766234369,0.991712921486,elephant,0.969745537771,1,0.246869306462,0.969745537771
